"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SMHL","2025-01-07","1463.2","1552","1406","1537","2.95 %","19,948.00"
"SMHL","2025-01-06","1360","1493","1306.2","1493","9.70 %","27,847.00"
"SMHL","2025-01-05","1380.9","1380.9","1307","1361","-3.41 %","17,023.00"
"SMHL","2025-01-02","1285","1409","1265","1409","9.65 %","52,185.00"
"SMHL","2025-01-01","1147.1","1287","1135.1","1285","9.83 %","50,906.00"
"SMHL","2024-12-31","1176.1","1183","1125","1170","-2.51 %","86,928.00"
"SMHL","2024-12-29","1180","1223","1180","1200.1","0.00 %","27,778.00"
"SMHL","2024-12-26","1248","1345","1150","1200.1","-5.76 %","43,608.00"
"SMHL","2024-12-24","1180.8","1273.4","1136","1273.4","9.99 %","51,306.00"
"SMHL","2024-12-23","1031.5","1157.7","1031.5","1157.7","10.00 %","73,403.00"
"SMHL","2024-12-22","975","1052.5","961","1052.5","9.99 %","63,590.00"
"SMHL","2024-12-19","973","1000","946","956.9","-3.34 %","15,589.00"
"SMHL","2024-12-18","1000","1005","981","990","-0.20 %","7,569.00"
"SMHL","2024-12-17","1000","1000","962","992","-0.80 %","21,271.00"
"SMHL","2024-12-16","1049","1049","999.9","1000","-4.40 %","21,411.00"
"SMHL","2024-12-12","1029","1112","1011","1046","-0.37 %","26,543.00"
"SMHL","2024-12-11","1009.4","1049.9","1009.4","1049.9","1.93 %","14,454.00"
"SMHL","2024-12-10","1031","1048","1001.2","1030","-0.10 %","15,368.00"
"SMHL","2024-12-09","1091.4","1091.4","1031","1031","-3.64 %","21,933.00"
"SMHL","2024-12-08","1126.1","1126.1","1044.1","1070","-6.88 %","44,752.00"
"SMHL","2024-12-05","1065.9","1149","1027","1149","9.95 %","53,891.00"
"SMHL","2024-12-04","1073.1","1161","1015","1045","-4.57 %","64,537.00"
"SMHL","2024-12-03","995","1095","995","1095","9.99 %","95,439.00"
"SMHL","2024-12-02","960","1045","960","995.5","3.05 %","69,507.00"
"SMHL","2024-12-01","970","984","951.2","966","-2.33 %","18,471.00"
"SMHL","2024-11-28","1023.2","1023.2","963","989","-5.27 %","94,628.00"
"SMHL","2024-11-27","948","1044","934.1","1044","9.95 %","72,746.00"
"SMHL","2024-11-26","988.9","988.9","924","949.5","-5.90 %","49,363.00"
"SMHL","2024-11-25","907.7","1009","901","1009","9.91 %","133,715.00"
"SMHL","2024-11-24","930","939","883.9","918","-0.42 %","73,690.00"
"SMHL","2024-11-21","899.9","960","878.1","921.9","2.44 %","122,083.00"
"SMHL","2024-11-20","830","900.9","825","899.9","8.42 %","82,960.00"
"SMHL","2024-11-19","875","875","824","830","-5.14 %","69,236.00"
"SMHL","2024-11-17","880","915","860","875","-0.57 %","87,319.00"
"SMHL","2024-11-14","855","918","851.5","880","2.92 %","53,107.00"
"SMHL","2024-11-13","805","855","797","855","6.21 %","110,940.00"
"SMHL","2024-11-12","792","836.4","776.5","805","3.59 %","157,844.00"
"SMHL","2024-11-11","757.3","803.5","757.3","777.1","4.66 %","119,338.00"
"SMHL","2024-11-10","688.5","742.5","688.5","742.5","10.00 %","215,572.00"
"SMHL","2024-11-06","698","710","663","675","-3.57 %","16,665.00"
"SMHL","2024-11-05","710","729","689.1","700","-0.19 %","15,658.00"
"SMHL","2024-10-30","699","751","692","701.3","0.04 %","95,650.00"
"SMHL","2024-10-29","685","701","681","701","2.94 %","34,161.00"
"SMHL","2024-10-28","650","681.2","648","681","4.77 %","52,995.00"
"SMHL","2024-10-27","643.8","656","635","650","-1.05 %","11,405.00"
"SMHL","2024-10-24","612.6","669","608","656.9","5.10 %","172,337.00"
"SMHL","2024-10-23","606","641","606","625","1.28 %","6,876.00"
"SMHL","2024-10-22","603","617.1","590","617.1","2.85 %","9,158.00"
"SMHL","2024-10-21","593.1","608","587","600","-0.83 %","9,643.00"
"SMHL","2024-10-20","599.8","612","592.9","605","-1.14 %","3,848.00"
"SMHL","2024-10-17","600","612","597.8","612","2.00 %","6,355.00"
"SMHL","2024-10-16","581","611","581","600","1.23 %","6,186.00"
"SMHL","2024-10-15","584","600","582.2","592.7","0.46 %","1,408.00"
"SMHL","2024-10-09","589","590","570","590","0.17 %","3,490.00"
"SMHL","2024-10-08","590","600","575.1","589","-0.17 %","5,220.00"
"SMHL","2024-10-07","580.3","603.8","580.3","590","-0.34 %","2,691.00"
"SMHL","2024-10-06","580","600","568.4","592","2.40 %","9,275.00"
"SMHL","2024-10-02","634","634","603.8","607","-2.88 %","11,774.00"
"SMHL","2024-10-01","610","640","607.2","625","3.14 %","10,800.00"
"SMHL","2024-09-30","599","613.9","588","606","1.17 %","11,175.00"
"SMHL","2024-09-29","582.5","600","582.5","599","1.18 %","8,829.00"
"SMHL","2024-09-26","590","604.7","572.5","592","-0.17 %","14,153.00"
"SMHL","2024-09-25","562","601.7","557.1","593","4.96 %","12,317.00"
"SMHL","2024-09-24","571.4","590","560.1","565","-3.09 %","10,555.00"
"SMHL","2024-09-23","588.1","609","565.1","583","-2.78 %","9,004.00"
"SMHL","2024-09-22","598.9","620","580.2","599.7","0.64 %","10,461.00"
"SMHL","2024-09-18","614","614","580","595.9","-1.01 %","8,133.00"
"SMHL","2024-09-16","615","615","589","602","-0.17 %","14,655.00"
"SMHL","2024-09-15","616.2","641","601","603","-2.11 %","11,815.00"
"SMHL","2024-09-12","605.3","629","603","616","0.16 %","12,852.00"
"SMHL","2024-09-11","605","630","603.1","615","-0.16 %","4,020.00"
"SMHL","2024-09-10","611","664","607","616","0.00 %","16,238.00"
"SMHL","2024-09-09","612","663","610","616","0.33 %","10,353.00"
"SMHL","2024-09-08","620","636","608","614","-1.92 %","12,826.00"
"SMHL","2024-09-05","637","649","622","626","-3.69 %","11,875.00"
"SMHL","2024-09-04","676","676","630","650","-3.27 %","15,335.00"
"SMHL","2024-09-03","661","686","646.9","672","2.91 %","26,118.00"
"SMHL","2024-09-02","626.4","653","614.1","653","2.19 %","13,844.00"
"SMHL","2024-09-01","645","663","616","639","-0.16 %","14,141.00"
"SMHL","2024-08-29","645.2","646","623.1","640","-0.78 %","9,440.00"
"SMHL","2024-08-28","637.5","701","637.5","645","1.18 %","22,920.00"
"SMHL","2024-08-27","654","659","615","637.5","-2.52 %","21,518.00"
"SMHL","2024-08-25","653","671","645","654","0.31 %","21,508.00"
"SMHL","2024-08-22","638.3","716","638.3","652","0.11 %","42,912.00"
"SMHL","2024-08-21","670","670","648.6","651.3","-2.79 %","20,934.00"
"SMHL","2024-08-18","695","695","656.6","670","-3.60 %","22,608.00"
"SMHL","2024-08-15","700","709.1","691","695","-1.42 %","42,780.00"
"SMHL","2024-08-14","700","705","685","705","1.00 %","37,682.00"
"SMHL","2024-08-13","700","721","682","698","-1.41 %","26,892.00"
"SMHL","2024-08-12","705","773","693.1","708","-0.41 %","66,890.00"
"SMHL","2024-08-11","714","723","686","710.9","1.56 %","67,996.00"
"SMHL","2024-08-08","696","724.2","679.2","700","0.86 %","36,269.00"
"SMHL","2024-08-07","685","754","685","694","-0.57 %","35,197.00"
"SMHL","2024-08-06","696","760","645","698","-1.55 %","45,923.00"
"SMHL","2024-08-05","710","767","686","709","0.17 %","48,471.00"
"SMHL","2024-08-01","716","730.3","698","707.8","-1.69 %","60,756.00"
"SMHL","2024-07-31","735","744","703","720","-1.37 %","98,719.00"
"SMHL","2024-07-30","746","754","725.1","730","-1.88 %","63,187.00"
"SMHL","2024-07-29","725","784","711.2","744","2.62 %","45,303.00"
"SMHL","2024-07-28","745","745","705","725","-0.82 %","32,878.00"
"SMHL","2024-07-25","730","746","720.1","731","-1.35 %","35,161.00"
"SMHL","2024-07-24","773.3","786.9","735","741","-6.08 %","72,271.00"
"SMHL","2024-07-23","737.2","795","730.1","789","4.92 %","45,912.00"
"SMHL","2024-07-22","733","762","710","752","4.47 %","116,562.00"
"SMHL","2024-07-21","662","719.8","652","719.8","9.08 %","196,289.00"
"SMHL","2024-07-18","635.1","680","635.1","659.9","2.31 %","85,561.00"
"SMHL","2024-07-17","656","664","636","645","-1.53 %","71,034.00"
"SMHL","2024-07-16","618","660","618","655","5.31 %","81,345.00"
"SMHL","2024-07-15","633","633","614.6","622","-0.80 %","16,869.00"
"SMHL","2024-07-14","633.4","640","618.1","627","0.97 %","30,670.00"
"SMHL","2024-07-11","615.1","625","610","621","0.96 %","21,970.00"
"SMHL","2024-07-10","615","622","608","615.1","0.34 %","21,720.00"
"SMHL","2024-07-09","615","619.9","610","613","-1.75 %","14,722.00"
"SMHL","2024-07-08","600.1","627","600.1","623.9","2.45 %","35,543.00"
"SMHL","2024-07-07","601.3","609.9","596.1","609","0.84 %","39,595.00"
"SMHL","2024-07-04","610","617","600","603.9","-0.84 %","17,521.00"
"SMHL","2024-07-03","616","616.9","600","609","0.50 %","25,585.00"
"SMHL","2024-07-02","620.1","657","606","606","-0.33 %","20,949.00"
"SMHL","2024-07-01","599","610","595","608","1.50 %","14,551.00"
"SMHL","2024-06-30","610","621.9","596.9","599","-1.80 %","22,997.00"
"SMHL","2024-06-27","602","625","602","610","-0.67 %","25,403.00"
"SMHL","2024-06-26","630","636","614.1","614.1","-2.06 %","32,864.00"
"SMHL","2024-06-25","618","638","616.1","627","-0.32 %","24,541.00"
"SMHL","2024-06-24","607","635","607","629","1.62 %","60,754.00"
"SMHL","2024-06-23","629","630","611.7","619","-1.59 %","59,738.00"
"SMHL","2024-06-20","644","644","625","629","-0.47 %","33,926.00"
"SMHL","2024-06-19","640","644","630.1","632","-1.25 %","29,651.00"
"SMHL","2024-06-18","652","660.5","633","640","-3.03 %","49,794.00"
"SMHL","2024-06-16","640","661","625.3","660","2.96 %","65,012.00"
"SMHL","2024-06-13","639.5","647","621","641","2.23 %","67,458.00"
"SMHL","2024-06-12","637.7","637.7","616","627","0.29 %","77,185.00"
"SMHL","2024-06-11","640","640","622.3","625.2","-0.76 %","67,094.00"
"SMHL","2024-06-10","589","638","589","630","7.07 %","148,834.00"
"SMHL","2024-06-09","595","600","575","588.4","0.58 %","93,029.00"
"SMHL","2024-06-06","540","594.9","533.5","585","7.58 %","154,694.00"
"SMHL","2024-06-05","520.5","552","520.5","543.8","3.84 %","91,989.00"
"SMHL","2024-06-04","517.1","535","517.1","523.7","1.10 %","54,298.00"
"SMHL","2024-06-03","549","553","517","518","-3.90 %","62,957.00"
"SMHL","2024-06-02","571","571","520","539","-3.73 %","76,288.00"
"SMHL","2024-05-30","527","559.9","520.6","559.9","6.04 %","91,397.00"
"SMHL","2024-05-29","529.3","547","510.3","528","1.73 %","83,023.00"
"SMHL","2024-05-27","487.2","523","487.2","519","4.41 %","113,759.00"
"SMHL","2024-05-26","515","515","496","497.1","-1.76 %","40,142.00"
"SMHL","2024-05-22","505.3","525","502","506","-1.75 %","56,921.00"
"SMHL","2024-05-21","486.1","527","486.1","515","4.46 %","124,360.00"
"SMHL","2024-05-20","474","498.7","460.7","493","6.02 %","102,717.00"
"SMHL","2024-05-19","444","474.3","435.2","465","6.65 %","42,889.00"
"SMHL","2024-05-16","434","442","430","436","0.46 %","19,169.00"
"SMHL","2024-05-15","445","450","430.6","434","-1.85 %","20,779.00"
"SMHL","2024-05-14","423.2","445","423.2","442.2","3.22 %","11,540.00"
"SMHL","2024-05-13","423","433.5","423","428.4","-0.14 %","9,129.00"
"SMHL","2024-05-12","435","435","421.5","429","0.59 %","11,331.00"
"SMHL","2024-05-09","435","440","426.5","426.5","-1.95 %","7,762.00"
"SMHL","2024-05-08","429.5","435","424","435","0.79 %","4,456.00"
"SMHL","2024-05-07","429.5","439.5","429.5","431.6","0.14 %","8,659.00"
"SMHL","2024-05-06","435","440","429.5","431","-0.94 %","9,975.00"
"SMHL","2024-05-05","445.6","445.6","434","435.1","-0.41 %","22,991.00"
"SMHL","2024-05-02","439","445","431.1","436.9","-0.66 %","21,971.00"
"SMHL","2024-04-30","438","444","425","439.8","2.28 %","17,695.00"
"SMHL","2024-04-29","426","435","426","430","-1.04 %","4,870.00"
"SMHL","2024-04-28","426","434.5","426","434.5","1.05 %","7,215.00"
"SMHL","2024-04-25","440","440","424.5","430","-2.27 %","4,462.00"
"SMHL","2024-04-24","443.7","443.7","427","440","0.34 %","3,152.00"
"SMHL","2024-04-22","448.9","448.9","430","438.5","-0.70 %","9,623.00"
"SMHL","2024-04-21","425","445","425","441.6","2.70 %","9,110.00"
"SMHL","2024-04-18","435","435","427.1","430","-2.25 %","6,947.00"
"SMHL","2024-04-16","433.1","439.9","433.1","439.9","0.30 %","8,860.00"
"SMHL","2024-04-15","439.3","446","436.5","438.6","-2.10 %","14,645.00"
"SMHL","2024-04-14","435.1","451","435.1","448","1.36 %","17,636.00"
"SMHL","2024-04-10","450","450.8","437","442","0.00 %","23,982.00"
"SMHL","2024-04-09","440.2","450","440.2","442","-0.67 %","15,327.00"
"SMHL","2024-04-07","426","445","426","445","2.75 %","15,150.00"
"SMHL","2024-04-04","432.1","439.9","432.1","433.1","-1.12 %","11,050.00"
"SMHL","2024-04-03","449.9","449.9","436.1","438","-0.90 %","5,761.00"
"SMHL","2024-04-02","445","449","439","442","-0.67 %","11,103.00"
"SMHL","2024-04-01","450","459.9","443.2","445","-1.98 %","17,223.00"
"SMHL","2024-03-31","438.1","460","438.1","454","1.79 %","37,557.00"
"SMHL","2024-03-28","453","453","438","446","0.22 %","18,415.00"
"SMHL","2024-03-27","450","458","441.2","445","-1.98 %","12,407.00"
"SMHL","2024-03-26","441.1","457","434","454","2.78 %","25,259.00"
"SMHL","2024-03-25","430","444","425","441.7","1.17 %","26,758.00"
"SMHL","2024-03-21","443","457","434","436.6","-3.41 %","41,113.00"
"SMHL","2024-03-20","446.5","464","445","452","-0.79 %","22,249.00"
"SMHL","2024-03-19","465.9","468","446.9","455.6","-0.48 %","34,913.00"
"SMHL","2024-03-18","468","468","448","457.8","-1.34 %","38,636.00"
"SMHL","2024-03-17","470","478","452","464","-3.11 %","26,690.00"
"SMHL","2024-03-14","486.8","490","474","478.9","0.19 %","45,422.00"
"SMHL","2024-03-13","459","484.5","452.1","478","5.05 %","64,512.00"
"SMHL","2024-03-12","450","461","448.1","455","1.56 %","35,368.00"
"SMHL","2024-03-10","457.9","467","443","448","-0.22 %","22,455.00"
"SMHL","2024-03-07","454","460","442.1","449","0.45 %","22,292.00"
"SMHL","2024-03-06","454","463","430","447","0.40 %","43,956.00"
"SMHL","2024-03-05","485","485","445.2","445.2","-7.25 %","34,339.00"
"SMHL","2024-03-04","453","480","453","480","7.62 %","4,675.00"
"SMHL","2024-03-03","457.9","457.9","436","446","-2.60 %","19,076.00"
"SMHL","2024-02-29","462","499","445","457.9","-2.78 %","17,146.00"
"SMHL","2024-02-28","462","479.4","456.7","471","0.21 %","17,610.00"
"SMHL","2024-02-27","462","488","462","470","-0.30 %","12,565.00"
"SMHL","2024-02-26","477.3","495","458.8","471.4","0.73 %","19,381.00"
"SMHL","2024-02-25","488.4","492","459","468","-2.28 %","27,498.00"
"SMHL","2024-02-22","504.3","504.3","471.2","478.9","-3.15 %","34,116.00"
"SMHL","2024-02-21","496.4","500","485.4","494.5","1.60 %","21,404.00"
"SMHL","2024-02-20","502","502","477","486.7","-1.28 %","25,128.00"
"SMHL","2024-02-18","522.2","522.2","491.6","493","-3.71 %","42,589.00"
"SMHL","2024-02-15","525","534","509","512","-2.48 %","35,057.00"
